Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA30,Lag1,Predicted
2019-11-15,263.679993,265.779999,263.01001,265.76001,263.939117,25051600.0,258.8303162,243.91371816666665,260.840485,258.17325
2019-11-18,265.799988,267.429993,264.230011,267.100006,265.269958,21675800.0,259.8602905,245.26174113333335,263.939117,258.17325
2019-11-19,267.899994,268.0,265.390015,266.290009,264.465485,19041800.0,260.8464508,246.67074383333335,265.269958,258.17325
2019-11-20,265.540009,266.079987,260.399994,263.190002,261.386749,26558600.0,261.5138488,247.89031626666664,264.465485,258.17325
2019-11-21,263.690002,264.01001,261.179993,262.01001,260.214813,30348800.0,261.7700835,248.96982676666667,261.386749,258.17325
2019-11-22,262.589996,263.179993,260.839996,261.779999,259.986389,16331300.0,261.9329589,249.83972726666667,260.214813,258.17325
2019-11-25,262.709991,266.440002,262.519989,266.369995,264.544922,21005100.0,262.3471008,250.8728007,259.986389,258.17325
2019-11-26,266.940002,267.160004,262.5,264.290009,262.479156,26301900.0,262.5785033,251.85516813333334,264.544922,258.17325
2019-11-27,265.579987,267.980011,265.309998,267.839996,266.004852,16308900.0,262.9131926,252.9864150666667,262.479156,258.17325
2019-11-29,266.600006,268.0,265.899994,267.25,265.418915,11654400.0,263.54831225,255.12224321666665,265.7118835,258.17325
2019-12-02,267.269989,268.25,263.450012,264.160004,262.350067,23621800.0,263.25632314999996,255.92900795,265.418915,258.17325
2019-12-03,258.309998,259.529999,256.290009,259.450012,257.672363,28607600.0,262.57701095000004,256.5980020833333,262.350067,258.17325
2019-12-04,261.070007,263.309998,260.679993,261.73999,259.946655,16795400.0,262.43300155000003,257.23652695,257.672363,258.17325
2019-12-05,263.790009,265.890015,262.730011,265.579987,263.760345,18606100.0,262.78755474999997,257.9889729166667,259.946655,258.17325
2019-12-06,267.480011,271.0,267.299988,270.709991,268.855194,26518900.0,263.67443525000004,258.81222935,263.760345,258.17325
2019-12-09,270.0,270.799988,264.910004,266.920013,265.091156,32010600.0,263.72905865,259.42849318333333,268.855194,258.17325
2019-12-10,268.600006,270.070007,265.859985,268.480011,266.640503,22605100.0,264.14519335,260.28651625,265.091156,258.17325
2019-12-11,268.809998,271.100006,268.5,270.769989,268.914795,19689200.0,264.43618765,261.22133935,266.640503,258.17325
2019-12-12,267.779999,272.559998,267.320007,271.459991,269.600067,34327600.0,264.82500600000003,261.99747205,268.914795,258.17325
2019-12-13,271.459991,275.299988,270.929993,275.149994,273.264771,33396900.0,265.60959160000004,262.66274001666665,269.600067,258.17325
2019-12-16,277.0,280.790009,276.980011,279.859985,277.942474,32046500.0,267.1688323,263.42848198333337,273.264771,258.17325
2019-12-17,279.570007,281.769989,278.799988,280.410004,278.48877,28539600.0,269.250473,264.22464491666665,277.942474,258.17325
2019-12-18,279.799988,281.899994,279.119995,279.73999,277.823334,29007100.0,271.0381409,264.9949970833333,278.48877,258.17325
2019-12-19,279.5,281.179993,278.950012,280.019989,278.10141,24592300.0,272.4722474,265.67662855000003,277.823334,258.17325
2019-12-20,282.230011,282.649994,278.559998,279.440002,277.525391,68994500.0,273.33926710000003,266.31555375,278.10141,258.17325
2019-12-23,280.529999,284.25,280.369995,284.0,282.054138,24643000.0,275.03556530000003,267.03724158333335,277.525391,258.17325
2019-12-24,284.690002,284.890015,282.920013,284.269989,282.322266,12119700.0,276.60374160000003,267.77581275,282.054138,258.17325
2019-12-26,284.820007,289.980011,284.700012,289.910004,287.923645,23280300.0,280.05691545,269.42741796666667,285.1229555,258.17325
2019-12-27,291.119995,293.970001,288.119995,289.799988,287.814392,36566500.0,281.51187755,270.22326046666666,287.923645,258.17325
2019-12-30,289.459991,292.690002,285.220001,291.519989,289.522614,36028600.0,282.66989155,271.0316823333334,287.814392,258.17325
